If you watched,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5,Recommendation 6,Recommendation 7,Recommendation 8,Recommendation 9,Recommendation 10
Setting Up HTTP(S) Load Balancing,Introducing the new Google Cloud Load Balancing UI,Setting Up SSL proxy for Google Cloud Load Balancing,Getting Ready For HTTP/2: A Guide For Web Designers And Developers - Smashing Magazine,Implementing HTTP/2 in Production Environments,How HTTP/2 is Changing Web Performance Best Practices,AWS Certified Solutions Architect Professional – Study Guide – Domain 4.0: Network Design for a complex large scale deployment (10%),Google Cloud Platform for AWS Professionals,Building for HTTP/2,"Front-End Performance Checklist 2017 (PDF, Apple Pages) - Smashing Magazine",Google: Here's how a software update knocked out our App Engine cloud | ZDNet
Setting Up SSL proxy for Google Cloud Load Balancing,Setting Up HTTP(S) Load Balancing,Introducing the new Google Cloud Load Balancing UI,AWS Certified Solutions Architect Professional – Study Guide – Domain 4.0: Network Design for a complex large scale deployment (10%),Google Cloud Platform for AWS Professionals,BrowserLab: Automated regression detection for the web,Implementing HTTP/2 in Production Environments,AWS Certified Solutions Architect Professional – Study Guide – Domain 2.0 Costing,Digital Health Coaching,"Filtering and formatting fun with gcloud, GCP's command line interface","Netflix OSS, Spring Cloud, or Kubernetes? How About All of Them!"
NTT to buy Dell's services division for $3.05 billion,Empresas de tecnologia preparam mais demissões após cortes na Cisco,Johnson & Johnson Targets 85% of Apps in Cloud by 2018,Google's Cloud Investments are Finally Starting to Pay Off,"O que aprendemos com os modelos de gestão da Google, Netflix e Dell  Leia mais em Endeavor @ https://endeavor.org.br/modelo-gesta-dell-netflix-google/",What's next for China's booming fintech sector?,Forget the Cloud - 'The Fog' Is the Next Big Thing | Fox Business,"Apple acquires Turi, a machine learning company",Popular Internet of Things Forecast of 50 Billion Devices by 2020 Is Outdated,New MacBook Pro is not a Laptop for Developers Anymore,Sources: Snapchat is raising more money at about a $20 billion valuation
"Good riddance, gig economy: Uber, Ayn Rand and the awesome collapse of Silicon Valley's dream of destroying your job",Defining The Sharing Economy: What Is Collaborative Consumption--And What Isn't?,Serious Business: Is The Sharing Economy Good For Business?,The economic essentials of digital strategy,Automation and anxiety,The Conversational Economy Part 1: What's Causing the Bot Craze?,Why Uber Is Killing the Bank (And What That Means for Everything Else),State of the Digital Nation 2016,So long MVP. Hello Minimum Loveable Product.,In defense of the Uber-ization of everything,Most People Say They Could Get Rid of Tons of Stuff and Still Be Happy
The internet of a billion things | ET CIO,Will IIoT bolster industrial automation investments? - ReadWrite,Will blockchain drive the fourth Industrial Revolution?,The Internet of Things,Popular Internet of Things Forecast of 50 Billion Devices by 2020 Is Outdated,GE Digital snags ServiceMax for $915 million,IoT Day: A timeline of how IoT is changing the world (infographic),Five priorities for competing in an era of digital globalization,What's next for China's booming fintech sector?,Capturing China's $5 trillion productivity opportunity,Intel's internal IoT platform for real-time enterprise analytics
Artigos e Palestras - Programa Agricultura de Precisão do SENAR,Rede Agricultura de Precisão II,Livro reúne artigos de 30 pesquisadores sobre inovação na agricultura - RSS,Especial Agrishow: Soluções de agricultura de precisão elevam produtividade e aumentam a qualidade do plantio,Cargill anuncia mudanças estratégicas para fortalecer a marca Nutron,"Agronegócio entra na era da agricultura digital | Economia, Notícias | Tribuna PR - Paraná Online",MOBILE TIME - Drones vão ajudar pequenos agricultores no Brasil,TEDxSãoPaulo,"Heroína, nazistas e agente laranja: por dentro da fusão do ano",Plano Nacional de IoT chega em março com parceria entre MCTIC e BNDES,"Conheça as ferramentas digitais que utilizo na minha empresa para resolver problemas, tornar o..."
Rede Agricultura de Precisão II,Artigos e Palestras - Programa Agricultura de Precisão do SENAR,Especial Agrishow: Soluções de agricultura de precisão elevam produtividade e aumentam a qualidade do plantio,Livro reúne artigos de 30 pesquisadores sobre inovação na agricultura - RSS,"Agronegócio entra na era da agricultura digital | Economia, Notícias | Tribuna PR - Paraná Online",MOBILE TIME - Drones vão ajudar pequenos agricultores no Brasil,[Books] Biblioteca FIXE: Sugestões de Leitura,"Heroína, nazistas e agente laranja: por dentro da fusão do ano","Conheça as ferramentas digitais que utilizo na minha empresa para resolver problemas, tornar o...","""5G está para IoT como 4G esteve para o Smartphone"", saiba as apostas da Intel para 2017",TEDxSãoPaulo
Five Bitcoin and Ethereum Based Projects to Watch in 2016 - Blockchain Investment Vehicles,The Biggest Crowdfunding Project Ever Was Supposed to Create Manager-free Companies. But It's a Mess,"The price of Ether, a bitcoin rival, is soaring because of a radical, $150 million experiment","Ethereum, a Virtual Currency, Enables Transactions That Rival Bitcoin's",The Rise And Growth of Ethereum Gets Mainstream Coverage,Solidity Available in Visual Studio - Ethereum Blog,"For Blockchain VCs, the Time for Ethereum Investments Has Come - CoinDesk",Ethereum and Bitcoin Are Market Leaders But Not Competitors,Gold Backed Digix Raises Millions in Hours on Ethereum Blockchain Crowdsale,Microsoft Adds Ethereum to Windows Platform For Over 3 Million Developers - CoinDesk,Microsoft Continues to Embrace Ethereum & Bitcoin - Bitcoin News
Blockchain Smart Contracts Startup Selected By BNP Paribas Accelerator - CoinDesk,Why Many Smart Contract Use Cases Are Simply Impossible - CoinDesk,Why Many Smart Contract Use Cases Are Simply Impossible - CoinDesk,From fine wine to lotteries: Blockchain tech takes off - BBC News,Stratumn is building a sort of Heroku for blockchain applications - The Bitcoin Channel,4 Blockchain Macro Trends: Where to Place Your Bets,VISA to Test Blockchain Payments among Banks; a SWIFT Rival?,Venture Capitalists Inject Nearly Half a Billion in Bitcoin,Decentralizing IoT networks through blockchain,How Blockchain Technology Can Improve the Insurance Industry,Blockchain Will Be Used By 15% of Big Banks By 2017
Using Gamified Hacking Challenges To Attract New Blockchain Developers,Are you a bitcoin denialist? - Chris Skinner's blog,Venture Capitalists Inject Nearly Half a Billion in Bitcoin,Red Hat OpenShift Blockchain Initiative Focuses On Ethereum,Blockchain CEO's Business Advice on Bitcoin Startups,"Our Goal is to Replace Your Need for a Bank, Says Blockchain Co-Founder and CEO Nicolas Cary",Stratumn is building a sort of Heroku for blockchain applications - The Bitcoin Channel,Confused by blockchains? Revolution vs Evolution,Australian Bitcoin Entrepreneur Launches Robo-Advice Platform,Blockchain won't kill banks: Bitcoin pioneer,"Blockchain open sources Thunder network, paving the way for instant bitcoin transactions"
O potencial do bitcoin na América Latina,"Focada em nuvem, SAP dribla crise e cresce na América Latina | EXAME.com",Black Friday salva o ano do e-commerce,Como o Pokémon Go ajuda a explicar por que o Brasil é um país pobre,Por que o Walmart não é Walmart no Brasil,A saga do jovem CEO da Dasa,"Carros de luxo em alta, mas o alerta está aceso","Carros de luxo em alta, mas o alerta está aceso",Seguradoras divulgam resultados de 2016 - Apólice,Especialistas trazem tendências de UX para 2017 - KingHost,"Como o e-commerce brasileiro pode, enfim, começar a lucrar"
From fine wine to lotteries: Blockchain tech takes off - BBC News,Why Many Smart Contract Use Cases Are Simply Impossible - CoinDesk,Why Many Smart Contract Use Cases Are Simply Impossible - CoinDesk,Decentralizing IoT networks through blockchain,The Blockchain is the new Google,Red Hat OpenShift Blockchain Initiative Focuses On Ethereum,4 Blockchain Macro Trends: Where to Place Your Bets,Banks find blockchain hard to put into practice - FT.com,How Blockchain Technology Can Improve the Insurance Industry,Could Blockchain Have Protected the Bosses Implicated in the Panama Papers?,Blockchain Huge Potential For The Insurance Industry
Como Startups e Grandes Empresas podem colaborar para Inovar mais e melhor,"Sua empresa já tem um ""Open Innovation Lab"" ? - CIO","Conheça a Liga IoT, plataforma de inovação aberta que irá acelerar projetos ligados a Internet das Coisas",Economia Colaborativa: a tendência que está mudando o mercado,O Brasil das fintechs: conheça startups nacionais que podem fazer você sair dos bancos,Olhando para o futuro: 5 pontos de atenção,Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi,Seguradores serão mentores de start-ups selecionadas pela aceleradora da Accenture | Sonho Seguro,Livros sobre liderança: os 10 melhores livros para bons líderes,A Voz Da Marca #2 - De onde vêm as histórias by A Voz da Marca,São Paulo recebe maior evento nacional voltado à educação e discute tecnologia no setor - Startupi
Pimp My Pitch: como fazer um Pitch poderoso,[Books] Biblioteca FIXE: Sugestões de Leitura,25 Coisas que Você Devia Começar a Fazer Agora que Tem 25 anos,Séries com lições sobre empreendedorismo: As 7 melhores!,Vídeos motivacionais: os 21 vídeos mais incríveis.,Dicas para aumentar produtividade: 14 dicas incríveis.,O que é benchmarking? Veja quando um concorrente se torna inspiração!,Livros sobre liderança: os 10 melhores livros para bons líderes,Seja esperto no trabalho: Melhore a comunicação na empresa com 12 robôs,Quando o Scrum irá falhar - Tableless,O futuro das interfaces: Chatbots - Tableless
Google DeepMind Is Now Analysing Magic And Hearthstone Cards,Google's AI DeepMind Turns its Gaze to Hearthstone and Magic: The Gathering - IGN,What DeepMind brings to Alphabet,Failing model: Plastic Card + App and Card + Wallet Players?,Google's new NHS deal is start of machine learning marketplace,Mark A Trello Card As Done (And Drop The Mic On That Task),"Google unleashes DeepMind on energy-hungry datacenter, cutting cooling bill by 40 percent",Final is a plaster on the gaping wound that is U.S. credit card security,We spent a week making Trello boards load extremely fast. Here's how we did it.,The End Of Apps As We Know Them - Inside Intercom,How Google's AI paved the way for the next generation of bots
How OKCupid Changed Hiring Forever.,Doing Data Science Right - Your Most Common Questions Answered,The new tech talent you need to succeed in digital,What makes a good (Android) Software Engineer,Lessons from Becoming a Data-Driven Organization,Digital Leadership Is Not an Optional Part of Being a CEO,"The ""Joel Test"" for Data Science",Building a high-throughput data science machine,"Practical advice for analysis of large, complex data sets",The Skills You'll Need and the Salary You Can Expect as a Data Scientist,Changing change management
The Hierarchy of Engagement - Greylock Perspectives,3 Pillars of the Most Successful Tech Products,Organizing for digital acceleration: Making a two-speed IT operating model work,The Mobile Growth Stack: 2017 Edition - Mobile Growth Stack,State of the Digital Nation 2016,NOW NEW NEXT: How growth champions create new value,[Select Repost] Scaling the Product Owner Role,Doing Data Science Right - Your Most Common Questions Answered,So long MVP. Hello Minimum Loveable Product.,An operating model for company-wide agile development,An operating model for company-wide agile development
Welcome Google Cloud Platform!,Node.js Examples - How Enterprises use Node in 2016 | @RisingStack,World's Fastest Growing Open Source Platform Pushes Out New Release,Four Node.js Gotchas that Operations Teams Should Know about - The New Stack,Node.js Best Practices - How to Become a Better Developer in 2017 | @RisingStack,"How to Build and Publish ES6 Modules Today, with Babel and Rollup",The Top 10 Most Common Mistakes That Node.js Developers Make,You SHOULD Learn Vanilla JavaScript Before JS Frameworks - Snipcart,Introducing Google Container Engine (GKE) node pools,After a year of using NodeJS in production,"The Languages, Frameworks and Tools You Should Learn in 2017"
Hopper raises $16 million for a travel app that tells you the best time to fly,"A sneak peek at Google's upcoming travel app, Trips",Bots won't replace apps. Better apps will replace apps.,"The New App Store: Subscription Pricing, Faster Approvals, and Search Ads",Everything you need to know about the big changes coming to Newark airport,3 Pillars of the Most Successful Tech Products,How to send better push notifications - the complete guide to push notifications - Growth Bug - App World,WhatsApp just released desktop apps for Mac and Windows,The End Of Apps As We Know Them - Inside Intercom,"China leaps ahead of Japan, is second in global iOS app revenue",Progressive Web App - first introduced on Google I/O | airberlin
Indústria 4.0: desafios e oportunidades,Como a Microsoft está trabalhando com o conceito de IoT - Startupi,Saiba como a Cisco está trabalhando com IoT e suas iniciativas para os empreendedores desse mercado - Startupi,"SINAIS do FUTURO imediato: #1, internet das coisas",Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,Banco Original discute tendências dos serviços financeiros e lança plataforma para desenvolvedores - Startupi,Olhando para o futuro: 5 pontos de atenção,"Sua empresa já tem um ""Open Innovation Lab"" ? - CIO",TI Bimodal? Receita para o desastre...,Para inovar é preciso mais do que boas ideias - Startupi,[Books] Biblioteca FIXE: Sugestões de Leitura
MedStar Washington Potentially Affected By Bitcoin Ransomware,Are you a bitcoin denialist? - Chris Skinner's blog,IBM's Watson aims to make hospital stays suck a whole lot less,Blockchain CEO's Business Advice on Bitcoin Startups,French Senate Will Debate on Bitcoin Regulation,Growing Global Electricity Consumption Is Not Just Bitcoin's Fault,Ethereum and Bitcoin Are Market Leaders But Not Competitors,Governments vs Bitcoin: A Fight For Control,Google search now provides access to basic healthcare information in India,Australian Bitcoin Entrepreneur Launches Robo-Advice Platform,Confused by blockchains? Revolution vs Evolution
CoinFest 2016: Uniting the World's Bitcoiners,Blockchain CEO's Business Advice on Bitcoin Startups,Are you a bitcoin denialist? - Chris Skinner's blog,Growing Global Electricity Consumption Is Not Just Bitcoin's Fault,French Senate Will Debate on Bitcoin Regulation,Bitit Launches to Solve Bitcoin Biggest Issues - Accessibility and Fraud,Australian Bitcoin Entrepreneur Launches Robo-Advice Platform,Venture Capitalists Inject Nearly Half a Billion in Bitcoin,"Our Goal is to Replace Your Need for a Bank, Says Blockchain Co-Founder and CEO Nicolas Cary",Ethereum and Bitcoin Are Market Leaders But Not Competitors,Governments vs Bitcoin: A Fight For Control
French Senate Will Debate on Bitcoin Regulation,Are you a bitcoin denialist? - Chris Skinner's blog,Blockchain CEO's Business Advice on Bitcoin Startups,Governments vs Bitcoin: A Fight For Control,Growing Global Electricity Consumption Is Not Just Bitcoin's Fault,Ethereum and Bitcoin Are Market Leaders But Not Competitors,Bitit Launches to Solve Bitcoin Biggest Issues - Accessibility and Fraud,Australian Bitcoin Entrepreneur Launches Robo-Advice Platform,Panama Papers Scandal Shows How Bitcoin Could Stop Corruption,Venture Capitalists Inject Nearly Half a Billion in Bitcoin,Blockchain won't kill banks: Bitcoin pioneer
Bitcoin Wallets as Swiss Bank Accounts: The Developer's Perspective,Are you a bitcoin denialist? - Chris Skinner's blog,Panama Papers Scandal Shows How Bitcoin Could Stop Corruption,"Our Goal is to Replace Your Need for a Bank, Says Blockchain Co-Founder and CEO Nicolas Cary",Blockchain CEO's Business Advice on Bitcoin Startups,Growing Global Electricity Consumption Is Not Just Bitcoin's Fault,Governments vs Bitcoin: A Fight For Control,French Senate Will Debate on Bitcoin Regulation,What Apple's differential privacy means for your data and the future of machine learning,Bitit Launches to Solve Bitcoin Biggest Issues - Accessibility and Fraud,"Blockchain open sources Thunder network, paving the way for instant bitcoin transactions"
Slice Labs raises $3.9M to insure on-demand workers when they're on the job,"IoT Insurance: Trends in Home, Life & Auto Insurance Industries",The new-world insurance agent,German insurance startup Clark closes €13.2M Series A,The insurance tech equation,How Blockchain Technology Can Improve the Insurance Industry,InsurTech: changing the world of risk - Chris Skinner's blog,"The new, scary face of auto insurance",Making digital strategy a reality in insurance,Big data analysis to transform insurance industry - FT.com,Self-Driving Cars and Insurance
Enable the new Google Contacts for your users from the Admin console,Dial in with ease using the latest Google Calendar app for Android,New settings for 2-Step Verification,Introducing Casting into Hangouts,Final Developer Preview before Android 7.0 Nougat begins rolling out | Android Developers Blog,Google I/O 2016 Preview: A Chrome/Android merger? Project Tango? VR?,Stay focused with Google Calendar event notifications in your browser,"Android N Developer Preview 2, out today! | Android Developers Blog","Android N Developer Preview 2, out today! | Android Developers Blog","Choose the Google Docs, Sheets, and Slides files you want to access offline",'Training for Google Apps' Is One Of Chrome's Best Kept Secrets - OMG! Chrome!
Study Shows Women and Minorities Are Punished for Speaking Up About Workplace Diversity,"If you think women in tech is just a pipeline problem, you haven't been paying attention - Tech Diversity Files",Introducing Ask a Female Engineer,Workplace diversity in Brazil: there's still a long way to go,"In war for talent, 'brogrammers' will be losers",Ahead of the curve: The future of performance management,Equal Pay Day in the spotlight this year,Glamour Exclusive: President Obama On Feminism and The World He Wants to Leave His Daughters,Promoting gender equality through emoji �� ��,The best-and worst-places to be a working woman,9 Non-Threatening Leadership Strategies for Women
Staying one step ahead at Pixar: An interview with Ed Catmull,So long MVP. Hello Minimum Loveable Product.,Seniority,A Harvard Psychologist Says This Trait Matters Most: 10 Ways to Make a Great First Impression,"Walt Disney Now Loves Blockchain, Going Trustless in Seattle",Linux at 25: Q&A With Linus Torvalds,Building Products,Rewiring Citi for the digital age,Mike Birbiglia's 6 Tips for Making It Small in Hollywood. Or Anywhere.,Why do you Fail at Growth Marketing and How to Solve it,Good Software Takes Ten Years. Get Used To it.
"IDEO founder David Kelley talks design, Steve Jobs, cancer, and the importance of empathy",Today in Apple history: Steve Jobs passes away | Cult of Mac,Today in Apple history: Steve Jobs passes away | Cult of Mac,Today in Apple history: Steve Jobs resigns as Apple CEO,"Smart Managers Don't Compare People to the ""Average""",Today in Apple history: World prepares for the NeXT Computer | Cult of Mac,Eddy Cue and Craig Federighi Open Up About Learning From Apple's Failures,"R.I.P. David Bunnell, founder of MacWorld | Cult of Mac",Adaptation. (2002),Today in Apple history: 'Here's to the crazy ones...' | Cult of Mac,Automation and anxiety
Aplicativo gratuito permite gerenciar Consórcio Honda diretamente do celular - Notícias - Auto Estrada,Honda: mulheres já respondem por 50% das vendas via consórcio,Como o layout de aplicativos influencia o usuário e por que você deveria testá-lo - One Day Testing Blog,App da Natura ganha recurso que permite pesquisar consultoras e pontos de venda mais próximos,Programa de Demissão Voluntária na Moto Honda tem mais de 500 adesões,Twitter faz atualização em seu aplicativo Fabric para trazer mais funcionalidades às empresas e aos desenvolvedores de apps - Startupi,ClienteSA - Gente - Empatia e tecnologia,Confira as novidades apresentadas no Google I/O 2016,Aplicações da Inteligência artificial | Endeavor Brasil,"Google lança Science Journal, aplicativo de ciências para Android | Google Discovery",Carros conectados impulsionarão diferentes indústrias | Sonho Seguro
Robots are coming for your job,Automation and anxiety,Microsoft's CEO Explores How Humans and A.I. Can Solve Society's Challenges-Together,The return of the machinery question,How Robots Can Acquire New Skills from Their Shared Experience,AI Revolution 101 - AI Revolution,Will blockchain drive the fourth Industrial Revolution?,Ray Kurzweil Predicts Three Technologies Will Define Our Future,Here's how The White House wants the U.S. to approach AI R&D,China will have the world's first driverless-cars-only city: Baidu CEO,Artificial intelligence is hard to see
Google's AI DeepMind Turns its Gaze to Hearthstone and Magic: The Gathering - IGN,Google DeepMind Is Now Analysing Magic And Hearthstone Cards,What DeepMind brings to Alphabet,Failing model: Plastic Card + App and Card + Wallet Players?,The End Of Apps As We Know Them - Inside Intercom,Google's new NHS deal is start of machine learning marketplace,"Google unleashes DeepMind on energy-hungry datacenter, cutting cooling bill by 40 percent",Final is a plaster on the gaping wound that is U.S. credit card security,Effective learning through code workshops | Box Blog,Writing good code: how to reduce the cognitive load of your code,How Google's AI paved the way for the next generation of bots
Bayesian machine learning,How to choose algorithms for Microsoft Azure Machine Learning,Generative Models,5 Skills You Need to Become a Machine Learning Engineer | Udacity,Ultimate AI battle - Apple vs. Google,Approaching (Almost) Any Machine Learning Problem | Abhishek Thakur,Approaching (Almost) Any Machine Learning Problem,Machine Learning for Designers,An introduction to Generative Adversarial Networks (with code in TensorFlow),Machine Learning is Fun! Part 2,Machine Learning Is No Longer Just for Experts
"As Microsoft US's AI chatbot turns racist troll, Japan's won't shut up about anime and hay fever",Clippy's Back: The Future of Microsoft Is Chatbots,"So your AI bot went haywire, should you care?","Zo, Microsoft's latest attempt at a chatbot, is ready to converse on Kik app",How to Improve 8 Major Problem Areas for Japanese Learners of All Levels,Japanese for dummies,Microsoft's new AI tools help developers build smart apps and bots,Exclusive: Why Microsoft is betting its future on AI,When will AI and NLP actually turn Siri into your best friend?,Microsoft Build: the 10 most important announcements,Microsoft's Open Source Love Affair Reaches New Heights
Linux at 25: Q&A With Linus Torvalds,The Best Linux Distros of 2016,Windows Subsystem for Linux Overview,Visual C++ for Linux Development,Microsoft's Open Source Love Affair Reaches New Heights,Good Software Takes Ten Years. Get Used To it.,So long MVP. Hello Minimum Loveable Product.,Seniority,Acquia's Dev Desktop - a Drupal server for beginners,Being A Developer After 40 - Free Code Camp,PowerShell is open sourced and is available on Linux
DARPA Wants to Give Radio Waves AI to Stretch Bandwidth,Machine Learning for Designers,Clarifying the uses of artificial intelligence in the enterprise,How real businesses are using machine learning,5 Skills You Need to Become a Machine Learning Engineer | Udacity,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning","How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",Building AI Is Hard-So Facebook Is Building AI That Builds AI,The Competitive Landscape for Machine Intelligence,The Competitive Landscape for Machine Intelligence,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel"
"So your AI bot went haywire, should you care?",Here's how The White House wants the U.S. to approach AI R&D,Clippy's Back: The Future of Microsoft Is Chatbots,Andrew Ng: What AI Can and Can't Do,Artificial intelligence is hard to see,Deep learning will be huge - and here's who will dominate it,Clarifying the uses of artificial intelligence in the enterprise,"Google, Amazon and the upcoming battle over AI Assistants",The next AI is no AI,"As Microsoft US's AI chatbot turns racist troll, Japan's won't shut up about anime and hay fever",Machine Learning for Designers
Machine Learning as a Service: How Data Science Is Hitting the Masses,IBM wants to bring machine learning to the mainframe,5 Skills You Need to Become a Machine Learning Engineer | Udacity,How real businesses are using machine learning,"How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel","How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",Doing Data Science Right - Your Most Common Questions Answered,Is machine learning the next commodity?,Machine Learning for Designers,Machine Learning Is No Longer Just for Experts,"The ""Joel Test"" for Data Science"
